z	zfir	zmaf
-0.970500	-0.972500	-0.987625
-0.970500	-0.972500	-0.987625
-0.968812	-0.970875	-0.987437
-0.968812	-0.970875	-0.987437
-0.968812	-0.970875	-0.987437
-0.963063	-0.971875	-0.984688
-0.963063	-0.971875	-0.984688
-0.963063	-0.971875	-0.984688
-0.971562	-0.970875	-0.983062
-0.971562	-0.970875	-0.983062
-0.971562	-0.970875	-0.983062
-0.978062	-0.970375	-0.974313
-0.978062	-0.970375	-0.974313
-0.978062	-0.970375	-0.974313
-0.967313	-0.969750	-0.969063
-0.967313	-0.969750	-0.969063
-0.967313	-0.969750	-0.969063
-0.975063	-0.971000	-0.972063
-0.975063	-0.971000	-0.972063
-0.975063	-0.971000	-0.972063
-0.971063	-0.972562	-0.971562
-0.971063	-0.972562	-0.971562
-0.971063	-0.972562	-0.971562
-0.978125	-0.973875	-0.971688
-0.978125	-0.973875	-0.971688
-0.978125	-0.973875	-0.971688
-0.960750	-0.970437	-0.971500
-0.960750	-0.970437	-0.971500
-0.960750	-0.970437	-0.971500
-0.973000	-0.971562	-0.971313
-0.973000	-0.971562	-0.971313
-0.973000	-0.971562	-0.971313
-0.972562	-0.971063	-0.970812
-0.972562	-0.971063	-0.970812
-0.972562	-0.971063	-0.970812
-0.960313	-0.968938	-0.970063
-0.960313	-0.968938	-0.970063
-0.960313	-0.968938	-0.970063
-0.971187	-0.967562	-0.970250
-0.971187	-0.967562	-0.970250
-0.971187	-0.967562	-0.970250
-0.976625	-0.970688	-0.971125
-0.976625	-0.970688	-0.971125
-0.976625	-0.970688	-0.971125
-0.979812	-0.972063	-0.971938
-0.979812	-0.972063	-0.971938
-0.979812	-0.972063	-0.971938
-0.973125	-0.972187	-0.971562
-0.973125	-0.972187	-0.971562
-0.973125	-0.972187	-0.971562
-0.959625	-0.972063	-0.970812
-0.959625	-0.972063	-0.970812
-0.959625	-0.972063	-0.970812
-0.976750	-0.973187	-0.970938
-0.976750	-0.973187	-0.970938
-0.976750	-0.973187	-0.970938
-0.962063	-0.970250	-0.970313
-0.962063	-0.970250	-0.970313
-0.962063	-0.970250	-0.970313
-0.971000	-0.968500	-0.969812
-0.971000	-0.968500	-0.969812
-0.971000	-0.968500	-0.969812
-0.965812	-0.967000	-0.970063
-0.965812	-0.967000	-0.970063
-0.965812	-0.967000	-0.970063
-0.969812	-0.969063	-0.970000
-0.969812	-0.969063	-0.970000
-0.969812	-0.969063	-0.970000
-0.970500	-0.967812	-0.969812
-0.970500	-0.967812	-0.969812
-0.970500	-0.967812	-0.969812
-0.949937	-0.965375	-0.968625
-0.949937	-0.965375	-0.968625
-0.949937	-0.965375	-0.968625
-0.963625	-0.963938	-0.967875
-0.963625	-0.963938	-0.967875
-0.963625	-0.963938	-0.967875
-0.979625	-0.966688	-0.968187
-0.979625	-0.966688	-0.968187
-0.979625	-0.966688	-0.968187
-0.969562	-0.966625	-0.967625
-0.969562	-0.966625	-0.967625
-0.969562	-0.966625	-0.967625
-0.971750	-0.966875	-0.967437
-0.971750	-0.966875	-0.967437
-0.971750	-0.966875	-0.967437
-0.951875	-0.967250	-0.966750
-0.951875	-0.967250	-0.966750
-0.951875	-0.967250	-0.966750
-0.967375	-0.968000	-0.966063
-0.967375	-0.968000	-0.966063
-0.967375	-0.968000	-0.966063
-0.965313	-0.965125	-0.966250
-0.965313	-0.965125	-0.966250
-0.965313	-0.965125	-0.966250
-0.966250	-0.964500	-0.965875
-0.966250	-0.964500	-0.965875
-0.966250	-0.964500	-0.965875
-0.969500	-0.964063	-0.966125
-0.969500	-0.964063	-0.966125
-0.969500	-0.964063	-0.966125
-0.950187	-0.963688	-0.964750
-0.950187	-0.963688	-0.964750
-0.950187	-0.963688	-0.964750
-0.971187	-0.964437	-0.964938
-0.971187	-0.964437	-0.964938
-0.971187	-0.964437	-0.964938
-0.963812	-0.964187	-0.965625
-0.963812	-0.964187	-0.965625
-0.963812	-0.964187	-0.965625
-0.959500	-0.962812	-0.965125
-0.959500	-0.962812	-0.965125
-0.959500	-0.962812	-0.965125
-0.973375	-0.963562	-0.964750
-0.973375	-0.963562	-0.964750
-0.973375	-0.963562	-0.964750
-0.956500	-0.964875	-0.963938
-0.956500	-0.964875	-0.963938
-0.956500	-0.964875	-0.963938
-0.970938	-0.964812	-0.963938
-0.970938	-0.964812	-0.963938
-0.970938	-0.964812	-0.963938
-0.968750	-0.965812	-0.965125
-0.968750	-0.965812	-0.965125
-0.968750	-0.965812	-0.965125
-0.968313	-0.967562	-0.965250
-0.968313	-0.967562	-0.965250
-0.968313	-0.967562	-0.965250
-0.967562	-0.966375	-0.965375
-0.967562	-0.966375	-0.965375
-0.967562	-0.966375	-0.965375
-0.958812	-0.966875	-0.965000
-0.958812	-0.966875	-0.965000
-0.958812	-0.966875	-0.965000
-0.971875	-0.967063	-0.965187
-0.971875	-0.967063	-0.965187
-0.971875	-0.967063	-0.965187
-0.964562	-0.966187	-0.966187
-0.964562	-0.966187	-0.966187
-0.964562	-0.966187	-0.966187
-0.970250	-0.966562	-0.966313
-0.970250	-0.966562	-0.966313
-0.970250	-0.966562	-0.966313
-0.976750	-0.968437	-0.967250
-0.976750	-0.968437	-0.967250
-0.976750	-0.968437	-0.967250
-0.965125	-0.969688	-0.967812
-0.965125	-0.969688	-0.967812
-0.965125	-0.969688	-0.967812
-0.965250	-0.968375	-0.967125
-0.965250	-0.968375	-0.967125
-0.965250	-0.968375	-0.967125
-0.968313	-0.969125	-0.967938
-0.968313	-0.969125	-0.967938
-0.968313	-0.969125	-0.967938
-0.962750	-0.967625	-0.967313
-0.962750	-0.967625	-0.967313
-0.962750	-0.967625	-0.967313
-0.969000	-0.966063	-0.967313
-0.969000	-0.966063	-0.967313
-0.969000	-0.966063	-0.967313
-0.956063	-0.964250	-0.966437
-0.956063	-0.964250	-0.966437
-0.956063	-0.964250	-0.966437
-0.970688	-0.965313	-0.966625
-0.970688	-0.965313	-0.966625
-0.970688	-0.965313	-0.966625
-0.971500	-0.966000	-0.967625
-0.971500	-0.966000	-0.967625
-0.971500	-0.966000	-0.967625
-0.971063	-0.967625	-0.967562
-0.971063	-0.967625	-0.967562
-0.971063	-0.967625	-0.967562
-0.979000	-0.969625	-0.968625
-0.979000	-0.969625	-0.968625
-0.979000	-0.969625	-0.968625
-0.956562	-0.969750	-0.967500
-0.956562	-0.969750	-0.967500
-0.956562	-0.969750	-0.967500
-0.972187	-0.970063	-0.967313
-0.972187	-0.970063	-0.967313
-0.972187	-0.970063	-0.967313
-0.965562	-0.968875	-0.967313
-0.965562	-0.968875	-0.967313
-0.965562	-0.968875	-0.967313
-0.963000	-0.967250	-0.967187
-0.963000	-0.967250	-0.967187
-0.963000	-0.967250	-0.967187
-0.974063	-0.966250	-0.967625
-0.974063	-0.966250	-0.967625
-0.974063	-0.966250	-0.967625
-0.963250	-0.967562	-0.967812
-0.963250	-0.967562	-0.967812
-0.963250	-0.967562	-0.967812
-0.969812	-0.967125	-0.967875
-0.969812	-0.967125	-0.967875
-0.969812	-0.967125	-0.967875
-0.978812	-0.969750	-0.969562
-0.978812	-0.969750	-0.969562
-0.978812	-0.969750	-0.969562
-0.977375	-0.972625	-0.970125
-0.977375	-0.972625	-0.970125
-0.977375	-0.972625	-0.970125
-0.959688	-0.969750	-0.968938
-0.959688	-0.969750	-0.968938
-0.959688	-0.969750	-0.968938
-0.958625	-0.968812	-0.968125
-0.958625	-0.968812	-0.968125
-0.958625	-0.968812	-0.968125
-0.975625	-0.970000	-0.968000
-0.975625	-0.970000	-0.968000
-0.975625	-0.970000	-0.968000
-0.966562	-0.967562	-0.968688
-0.966562	-0.967562	-0.968688
-0.966562	-0.967562	-0.968688
-0.965313	-0.965125	-0.968250
-0.965313	-0.965125	-0.968250
-0.965313	-0.965125	-0.968250
-0.965938	-0.966375	-0.968125
-0.965938	-0.966375	-0.968125
-0.965938	-0.966375	-0.968125
-0.964875	-0.967625	-0.968313
-0.964875	-0.967625	-0.968313
-0.964875	-0.967625	-0.968313
-0.970125	-0.966562	-0.968000
-0.970125	-0.966562	-0.968000
-0.970125	-0.966562	-0.968000
-0.970250	-0.967250	-0.968375
-0.970250	-0.967250	-0.968375
-0.970250	-0.967250	-0.968375
-0.963875	-0.967000	-0.967688
-0.963875	-0.967000	-0.967688
-0.963875	-0.967000	-0.967688
-0.971750	-0.968125	-0.967437
-0.971750	-0.968125	-0.967437
-0.971750	-0.968125	-0.967437
-0.966000	-0.968375	-0.966750
-0.966000	-0.968375	-0.966750
-0.966000	-0.968375	-0.966750
-0.970375	-0.968437	-0.967437
-0.970375	-0.968437	-0.967437
-0.970375	-0.968437	-0.967437
-0.971625	-0.968688	-0.968437
-0.971625	-0.968688	-0.968437
-0.971625	-0.968688	-0.968437
-0.971812	-0.970313	-0.968250
-0.971812	-0.970313	-0.968250
-0.971812	-0.970313	-0.968250
-0.968562	-0.969625	-0.968437
-0.968562	-0.969625	-0.968437
-0.968562	-0.969625	-0.968437
-0.971750	-0.970812	-0.969000
-0.971750	-0.970812	-0.969000
-0.971750	-0.970812	-0.969000
-0.969500	-0.970625	-0.969250
-0.969500	-0.970625	-0.969250
