z	zmaf	zfir
-0.827750	-0.869875	-1.069500
-0.827750	-0.869875	-1.069500
-0.973812	-0.860500	-1.045750
-0.973812	-0.860500	-1.045750
-0.973812	-0.860500	-1.045750
-0.806312	-0.868938	-1.010375
-0.806312	-0.868938	-1.010375
-0.806312	-0.868938	-1.010375
-0.917937	-0.859688	-0.967313
-0.917937	-0.859688	-0.967313
-0.917937	-0.859688	-0.967313
-0.903312	-0.885813	-0.938187
-0.903312	-0.885813	-0.938187
-0.903312	-0.885813	-0.938187
-0.781813	-0.876625	-0.899125
-0.781813	-0.876625	-0.899125
-0.781813	-0.876625	-0.899125
-0.909750	-0.863812	-0.885875
-0.909750	-0.863812	-0.885875
-0.909750	-0.863812	-0.885875
-0.687187	-0.840000	-0.859688
-0.687187	-0.840000	-0.859688
-0.687187	-0.840000	-0.859688
-0.647250	-0.785813	-0.828438
-0.647250	-0.785813	-0.828438
-0.647250	-0.785813	-0.828438
-0.605375	-0.726250	-0.814625
-0.605375	-0.726250	-0.814625
-0.605375	-0.726250	-0.814625
-0.564000	-0.682688	-0.782500
-0.564000	-0.682688	-0.782500
-0.564000	-0.682688	-0.782500
-0.657250	-0.632188	-0.769062
-0.657250	-0.632188	-0.769062
-0.657250	-0.632188	-0.769062
-0.830250	-0.660813	-0.769625
-0.830250	-0.660813	-0.769625
-0.830250	-0.660813	-0.769625
-0.582812	-0.647938	-0.736875
-0.582812	-0.647938	-0.736875
-0.582812	-0.647938	-0.736875
-1.048938	-0.736625	-0.756125
-1.048938	-0.736625	-0.756125
-1.048938	-0.736625	-0.756125
-0.888000	-0.801438	-0.755938
-0.888000	-0.801438	-0.755938
-0.888000	-0.801438	-0.755938
-0.834313	-0.836812	-0.749875
-0.834313	-0.836812	-0.749875
-0.834313	-0.836812	-0.749875
-1.111438	-0.893062	-0.779875
-1.111438	-0.893062	-0.779875
-1.111438	-0.893062	-0.779875
-0.800438	-0.936625	-0.775000
-0.800438	-0.936625	-0.775000
-0.800438	-0.936625	-0.775000
-0.909250	-0.908687	-0.795562
-0.909250	-0.908687	-0.795562
-0.909250	-0.908687	-0.795562
-1.134000	-0.957875	-0.838938
-1.134000	-0.957875	-0.838938
-1.134000	-0.957875	-0.838938
-0.924250	-0.975875	-0.865563
-0.924250	-0.975875	-0.865563
-0.924250	-0.975875	-0.865563
-1.297625	-1.013062	-0.924188
-1.297625	-1.013062	-0.924188
-1.297625	-1.013062	-0.924188
-1.168187	-1.086625	-0.969500
-1.168187	-1.086625	-0.969500
-1.168187	-1.086625	-0.969500
-1.224562	-1.149687	-0.999750
-1.224562	-1.149687	-0.999750
-1.224562	-1.149687	-0.999750
-1.424187	-1.207750	-1.067000
-1.424187	-1.207750	-1.067000
-1.424187	-1.207750	-1.067000
-1.269313	-1.276750	-1.089750
-1.269313	-1.276750	-1.089750
-1.269313	-1.276750	-1.089750
-1.224625	-1.262125	-1.114875
-1.224625	-1.262125	-1.114875
-1.224625	-1.262125	-1.114875
-1.227313	-1.274000	-1.149375
-1.227313	-1.274000	-1.149375
-1.227313	-1.274000	-1.149375
